Date(timestamp),0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1394812800,34.2,26.3,22.6,24.2,24.8,28.5,34.9,36.3,49.8,69.2,69.2,69.2,69.2,69.2,60.2,88.9,84.2,75,69.9,99.1,101.9,93,78.1,53.1
1394899200,36.4,23.6,26.7,26.6,22.7,22.9,31.3,40.6,46.4,76.2,71.2,77.8,74.2,74.2,90.8,74.3,80.3,79.1,79.5,89.6,91.1,87.9,77.1,49.6
1394985600,31.4,32.4,28,27.5,23.9,28.4,33.3,36.3,38.4,61.6,52.2,54.8,56.1,56.1,63.7,60.5,94.2,73.4,74.8,86.5,89.8,91,73.1,48.1
1395072000,34.7,31.2,23.3,23.3,22.3,29.7,32.9,38.5,39.4,70.6,58,65.4,60.3,60.3,53.3,62.1,61.4,71.2,77,85.7,83,83.2,68,48.2
1395158400,43.1,28.4,25,22.6,23.7,24.7,31.7,28.8,50.9,55.6,55.6,62.7,57.1,57.1,68,72.9,72.2,67,88.7,92,96.8,92.2,63.2,50.6
1395244800,31.2,24.8,25.5,25.9,26.2,28.7,32.6,48.4,40.1,74.9,74.9,70.7,62.3,62.3,64.8,76.7,70.9,81.7,78.9,94.3,100.6,82,66.9,54.3
1395331200,30.1,27.2,24.1,25.3,27.1,28.6,33,43.5,55.8,57.1,59.2,66.7,57.1,57.5,64,65.1,63.3,70.4,70.7,93.7,95.8,89.8,79.3,55.1
1395417600,38.7,26.7,21.5,20.7,21.8,29,23.4,35,45.1,61.8,68.4,79.5,77.7,73.5,73.1,73,74.3,81.2,80.6,98.8,93.6,99.4,75.7,59.2
1395504000,35.1,29.7,28.5,28.1,24,31.3,30.9,36.6,47.6,68.9,72.5,73.8,64.4,73,81.9,74.9,73.9,80.3,88.5,100.2,93.7,99.2,66.7,51.2
1395590400,38.5,33.1,31.1,27.4,28.5,28.2,33.3,39.3,50,64.5,56.3,63,53.8,55.3,58.9,61.6,54.8,66.9,83.7,88.7,90.4,79.6,62.2,49
1395676800,32.1,28.2,25.7,25,26.2,26.8,32.2,40.5,46.3,67,71.2,67.7,58.9,64.6,70.5,59.1,57.9,70.5,76.9,80.6,76,89.1,89.1,52.2
1395763200,29.9,26.4,27.5,23,25.6,24.9,27.5,29.6,50.7,63.5,55.8,58.6,60.7,52.8,53.9,65.9,66.1,69.3,69.3,85,89.7,75.9,62.2,44.8
1395849600,37.4,27.9,23.1,21.7,21.3,26.3,29.9,47.6,49.5,60.5,49.8,52.2,59.4,73.3,59.4,63.7,54.6,65.7,66.1,86.9,90.9,81.7,59.6,45
1395936000,37.9,26.1,29.1,27.1,24.4,27.5,29.6,39.2,51.5,70.1,58.5,77.8,57.2,62.5,54.3,78.8,71.6,71.7,75.7,87.2,98.7,85.2,66.5,58.7
